,394.82,419.632,470.587,483.663,494.417,522.006,556.364,675.851,680.352,quality_Medium
69,62.8342,82.4655,96.3965,96.8904,98.0276,98.467,98.6686,98.7154,99.5463,0
70,72.4071,88.4224,97.2261,98.019,99.0268,98.4794,98.1162,98.8984,98.8853,0
71,59.9557,74.1298,83.1784,84.6555,85.6403,86.7246,86.4213,86.5624,86.4508,0
72,74.8961,83.1915,86.6657,87.8105,87.8841,87.9085,88.3318,87.7611,87.7084,0
73,88.4143,93.3175,92.4976,93.5825,93.5372,93.3638,93.3299,92.6743,92.5092,0
74,78.8247,92.3461,100.663,99.5233,99.939,101.238,101.133,101.26,101.158,1
75,84.1867,92.8026,99.4094,100.444,99.0526,100.369,100.497,100.686,100.52,0
76,96.7261,96.1202,94.7845,95.481,94.9659,94.0921,93.7117,94.0163,94.1049,0
77,90.9522,95.5145,97.6764,99.0205,99.5053,98.9525,100.351,99.5142,99.1101,0
78,93.2574,93.8311,93.454,93.484,93.5537,93.8352,93.4167,93.4671,93.8843,0
79,58.9795,77.3553,91.2864,92.6587,94.7884,96.3468,96.1149,96.7555,97.3993,0
80,97.8102,101.611,102.848,102.824,102.294,102.749,102.09,102.128,102.172,1
81,66.2018,84.4673,96.0956,96.8459,97.6145,97.2042,97.5847,97.4219,97.4509,0
82,87.7386,95.4031,100.237,101.074,101.822,102.359,101.245,101.958,101.593,0
83,61.5543,81.4735,96.9729,96.5027,98.0482,98.2353,97.5793,99.1681,98.8517,0
84,76.3967,88.2118,96.669,98.4038,98.8947,99.2335,100.381,100.045,100.272,0
85,67.5093,82.7736,93.2367,95.2751,96.1595,96.8482,97.4876,97.8822,97.6808,0
86,49.5735,70.0352,86.7858,88.3326,90.4047,91.0851,91.684,91.9392,92.2044,0
87,83.8059,92.0942,97.1897,97.4592,98.5036,98.9358,99.5515,99.2401,99.4143,0
88,59.3598,80.3743,95.5308,96.5939,97.7355,98.0218,97.6973,98.8106,98.7993,0
89,83.1358,93.3151,99.5399,100.642,101.025,100.899,100.89,102.688,101.873,0
90,79.6728,90.6852,98.0105,98.9505,99.3438,99.8055,99.6208,100.432,100.382,0
91,83.0732,93.2937,100.059,102.073,101.276,101.924,101.585,102.894,102.558,0
92,76.1504,87.3878,94.7646,95.9191,96.6305,97.7738,97.826,98.7153,98.7947,0
93,85.1554,93.1722,97.9686,98.7292,99.0833,99.7753,99.3819,99.8303,99.897,0
94,60.9775,79.168,91.7707,94.4412,96.014,96.3316,97.3782,98.2548,98.4709,0
95,80.6643,91.4032,97.8308,99.7383,100.411,100.15,100.304,100.745,100.795,0
96,96.3486,97.4548,98.4419,98.1376,98.7615,98.9769,98.7043,100.293,101.875,0
97,95.4227,98.0327,100.242,99.9556,100.598,100.57,100.356,102.03,103.652,0
98,91.0513,94.6466,98.1707,97.7811,98.0593,100.167,98.3572,98.5559,98.7002,0
99,83.8587,90.4197,96.17,95.3756,97.3869,98.4292,96.7843,96.5633,96.6645,0
100,81.7795,90.804,96.648,96.6426,96.8292,100.047,98.169,98.8018,98.5906,0
101,61.8681,82.1179,98.9105,97.1315,98.9408,102.006,100.072,101.412,101.169,0
102,78.559,93.4048,100.632,100.64,100.688,99.94,102.702,100.349,100.219,0
103,76.9435,88.2147,95.5139,96.3929,96.9048,96.9358,102.592,98.5388,98.5729,0
104,74.6857,84.8746,90.983,94.2221,92.7111,93.5195,94.4227,95.1574,95.2113,0
105,95.6429,98.3363,98.3692,101.006,98.9902,98.8793,98.8929,99.6869,99.829,0
